date,soc_start_kwh,reserve_kwh,soc_end_kwh,note,net_ratio
2025-01-01,6000.0,,6000.0,initialization day; no prior history,
2025-01-02,6000.0,,1200.0,unified warm-up,1.0
2025-01-03,1200.0,,1200.0,unified warm-up,1.0
2025-01-04,1200.0,,1200.0,unified warm-up,1.0
2025-01-05,1200.0,,1200.0,unified warm-up,1.0
2025-01-06,1200.0,,1200.0,unified warm-up,1.0
2025-01-07,1200.0,10800.0,10800.0,unified warm-up,0.9409113043760932
2025-01-08,10800.0,10800.0,10800.0,unified warm-up,1.1008154074375558
2025-01-09,10800.0,10800.0,10800.0,unified warm-up,1.0818677859894241
2025-01-10,10800.0,10800.0,10800.0,unified warm-up,0.7124609714211507
2025-01-11,10800.0,10800.0,10800.0,unified warm-up,0.7324662715608959
2025-01-12,10800.0,10800.0,10800.0,unified warm-up,1.1335279123923843
2025-01-13,10800.0,10800.0,10800.0,unified warm-up,1.114585044838169
2025-01-14,10800.0,10800.0,10800.0,unified warm-up,1.0909435220333639
2025-01-15,10800.0,10800.0,10800.0,unified warm-up,1.1104472521003756
2025-01-16,10800.0,10800.0,10800.0,unified warm-up,1.1054832786515894
2025-01-17,10800.0,10800.0,10800.0,unified warm-up,0.6382360267308955
2025-01-18,10800.0,10706.547404975161,10706.547404975161,unified warm-up,0.6207813570014049
2025-01-19,10706.547404975161,10800.0,10800.0,unified warm-up,1.1310250459496654
2025-01-20,10800.0,10800.0,10800.0,unified warm-up,1.1504156325771049
2025-01-21,10800.0,10800.0,10800.0,unified warm-up,1.140543138542249
2025-01-22,10800.0,8715.560290733903,8715.560290733903,unified warm-up,1.0911572858240774
2025-01-23,8715.560290733903,6402.009912952063,6402.009912952063,unified warm-up,1.0880224869587203
2025-01-24,6402.009912952063,4461.360630455974,4461.360630455974,unified warm-up,0.6168948976655023
2025-01-25,4461.360630455974,4279.725311852651,4279.725311852651,unified warm-up,0.6222969145260139
2025-01-26,4279.725311852651,6458.540400063343,6458.540400063343,unified warm-up,1.102400990412384
2025-01-27,6458.540400063343,6525.075499329346,6525.075499329346,unified warm-up,1.11721450201543
2025-01-28,6525.075499329346,6441.425290301261,6441.425290301261,unified warm-up,1.1005172908919978
2025-01-29,6441.425290301261,6487.163771978887,6487.163771978887,unified warm-up,1.1109823783406327
2025-01-30,6487.163771978887,6277.036628450292,6277.036628450292,unified warm-up,1.0691013242388034
2025-01-31,6277.036628450292,4053.540441795339,4053.540441795339,unified warm-up,0.6038061978138848
