date,strategy,scheduled_grid_kwh,emergency_purchase_kwh,total_grid_purchase_kwh,base_plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_grid_cost_yuan,curtailed_pv_kwh,overpurchase_spill_kwh,pv_consumption_rate,charge_input_kwh,discharge_output_kwh,soc_initial_kwh,soc_terminal_kwh,soc_min_kwh,soc_max_kwh,pv_forecast_mae_kw,load_forecast_mae_kw
2025-02-01,static_forecast,38055.711152777774,762.3232777777783,38818.034430555555,20949.220139294168,0.0,3248.829274588891,24198.049413883055,3622.623433333333,2325.2350638888884,0.9135969468123006,14800.000000000002,16308.0,6000.0,1200.0,1200.0,10800.0,132.29455277777777,209.4526097222222
2025-02-01,rolling,36981.59873611111,678.5562916666672,37660.15502777778,20949.220139294168,-203.28306383583333,3046.943235019446,23792.880310477776,2401.4835944444435,2363.162166666666,0.9427223064834964,14933.333333333334,16416.0,6000.0,1200.0,1200.0,10800.0,82.64369629629624,209.4526097222222
2025-02-02,static_forecast,89034.84940555555,286.4490722222223,89321.29847777777,56334.86066995056,0.0,1181.514431997223,57516.37510194778,4199.913911111113,2230.4399500000013,0.9031154904278689,23866.666666666668,19332.0,1200.0,1200.0,1200.0,10800.0,122.40258263888897,216.4294458333334
2025-02-02,rolling,87750.02912777779,359.6423027777787,88109.67143055557,56334.86066995056,181.4463481213876,1231.981695363891,57748.28871343583,2984.0952638888893,2234.631550000001,0.931162254208704,23866.666666666668,19332.0,1200.0,1200.0,1200.0,10800.0,63.70649583333334,216.4294458333334
2025-02-03,static_forecast,90978.847875,503.7197388888891,91482.56761388888,57576.24323237666,0.0,2117.162911734723,59693.40614411139,4769.442838888888,1885.541608333334,0.8874782495612552,24266.666666666668,19656.0,1200.0,1200.0,1200.0,10800.0,156.89728171296295,163.32805138888884
2025-02-03,rolling,87485.32362222222,901.1942166666676,88386.51783888889,57576.24323237666,-1260.039574576528,3684.7625403541697,60000.9661981543,1728.2699138888893,1881.3314250000003,0.9592262739044167,24000.0,19440.0,1200.0,1200.0,1200.0,10800.0,55.42954641203705,163.32805138888884
2025-02-04,static_forecast,93999.12146666666,338.2060527777777,94337.32751944444,60070.47546358111,0.0,1042.3435115388888,61112.81897512,5743.834202777777,2737.296033333333,0.8577668624863488,24533.333333333336,19872.0,1200.0,1200.0,1200.0,10800.0,168.1798189814815,238.82189652777768
2025-02-04,rolling,91182.52474166667,582.3545666666663,91764.87930833333,60070.47546358111,-916.0543628925002,2018.0573281249985,61172.478428813614,3164.705608333332,2718.6430833333334,0.9216331822804683,24666.666666666668,19980.0,1200.0,1200.0,1200.0,10800.0,74.46766076388887,238.82189652777768
2025-02-05,static_forecast,87977.50116111111,1150.3913611111116,89127.89252222222,55558.48347666722,0.0,4219.968066998614,59778.45154366584,2356.240761111111,1463.2247777777789,0.9428688424365557,24000.0,19440.0,1200.0,1200.0,1200.0,10800.0,106.44383796296296,180.55471944444446
2025-02-05,rolling,89099.11219444443,659.9310805555558,89759.043275,55558.48347666722,1333.0516561656948,3055.6511229680564,59947.186255800974,2985.7988749999995,1464.8174166666677,0.927604110413598,24000.0,19440.0,1200.0,1200.0,1200.0,10800.0,54.119841435185194,180.55471944444446
2025-02-06,static_forecast,94264.35267222223,306.2428111111103,94570.59548333334,60236.22727959139,0.0,1175.6674413333296,61411.89472092472,7553.352230555556,2059.5193694444433,0.8200773385171034,24666.666666666668,19980.0,1200.0,1200.0,1200.0,10800.0,254.53718541666663,185.48680347222222
2025-02-06,rolling,88758.8224361111,538.70621111111,89297.52864722222,60236.22727959139,-2021.4898949004164,2112.304016868053,60327.04140155902,2387.3565000000003,2053.7815972222206,0.9431325956638329,24133.333333333336,19548.0,1200.0,1200.0,1200.0,10800.0,64.97117384259263,185.48680347222222
2025-02-07,static_forecast,44537.046497222225,331.84218333333354,44868.88868055555,23484.51129622,0.0,1644.1832988500012,25128.694595070003,7178.4745388888905,1932.7344750000004,0.8381875002552495,20800.0,16848.0,1200.0,1200.0,1200.0,10800.0,206.19862291666672,196.6992645833334
2025-02-07,rolling,42116.34644166667,390.47723333333386,42506.823675,23484.51129622,-575.0543028495835,1904.1406354236135,24813.597628794032,4832.111208333334,1917.0328000000004,0.8910776949295875,20800.0,16848.0,1200.0,1200.0,1200.0,10800.0,85.73073923611112,196.6992645833334
2025-02-08,static_forecast,35985.32578055556,2432.8335916666683,38418.15937222222,18639.309359793333,0.0,9477.092099738897,28116.40145953223,2064.9680222222214,1229.3619666666668,0.9532491382579682,18666.666666666668,15120.0,1200.0,1200.0,1200.0,10800.0,152.98512361111113,136.94161805555555
2025-02-08,rolling,36745.842425,1531.6475611111111,38277.48998611111,18639.309359793333,877.7707697344456,6333.722922347223,25850.803051875002,1924.2986361111102,1229.3619666666668,0.9564338921866705,18666.666666666668,15120.0,1200.0,1200.0,1200.0,10800.0,57.01985381944444,136.94161805555555
2025-02-09,static_forecast,85957.45302222222,1497.7171500000004,87455.17017222222,54139.28388248694,0.0,5920.216648695836,60059.500531182784,2739.9293222222204,675.8248833333338,0.9347519168589998,23600.0,19116.0,1200.0,1200.0,1200.0,10800.0,151.13610810185185,109.14504097222222
2025-02-09,rolling,85652.39367222221,1011.4724805555561,86663.86615277777,54139.28388248694,662.112480713752,3984.090811825002,58785.48717502569,2024.625302777777,675.8248833333338,0.9517860117727872,23200.0,18792.0,1200.0,1200.0,1200.0,10800.0,92.87197013888891,109.14504097222222
2025-02-10,static_forecast,82648.47597777778,830.2664444444438,83478.74242222222,51922.39575505555,0.0,2999.4072152041635,54921.80297025972,3924.916447222222,869.8550583333332,0.9167584456447344,22933.333333333336,18576.0,1200.0,1200.0,1200.0,10800.0,155.19574560185185,144.70191180555565
2025-02-10,rolling,79852.46014444444,1460.5353166666664,81312.99546111112,51922.39575505555,-296.94514486583205,4860.333074555552,56485.78368474527,1631.0998111111123,871.2580666666667,0.9654068346648345,23600.0,19116.0,1200.0,1200.0,1200.0,10800.0,67.12154733796297,144.70191180555565
2025-02-11,static_forecast,82649.36188333333,1884.0345222222234,84533.39640555556,52063.98039975333,0.0,7769.195323987504,59833.17572374083,4150.300894444445,678.4983777777784,0.910206849144759,23600.0,19116.0,1200.0,1200.0,1200.0,10800.0,214.01124629629624,116.34601805555556
2025-02-11,rolling,78865.16350555555,1968.7677555555554,80833.93126111111,52063.98039975333,-1354.9946135379166,8476.541329143052,59185.52711535847,585.3211166666667,670.6796777777784,0.9873363814662302,22933.333333333332,18576.0,1200.0,1200.0,1200.0,10800.0,57.76469722222219,116.34601805555556
2025-02-12,static_forecast,83094.0776611111,838.881608333333,83932.95926944443,52239.71613694473,0.0,3630.098561990276,55869.814698935,3374.3099555555555,883.9131805555553,0.9267999781015468,23200.0,18792.0,1200.0,1200.0,1200.0,10800.0,144.85099236111105,125.48627708333333
2025-02-12,rolling,79379.84448888889,1800.252311111111,81180.0968,52239.71613694473,-1353.7286399438892,7376.7402238791665,58262.72772088,648.407416666666,882.286583333333,0.985933883453423,23066.666666666668,18684.0,1200.0,1200.0,1200.0,10800.0,66.0517240740741,125.48627708333333
