date,strategy,scheduled_grid_kwh,emergency_purchase_kwh,total_grid_purchase_kwh,base_plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_grid_cost_yuan,curtailed_pv_kwh,overpurchase_spill_kwh,pv_consumption_rate,charge_input_kwh,discharge_output_kwh,soc_initial_kwh,soc_terminal_kwh,soc_min_kwh,soc_max_kwh,pv_forecast_mae_kw,load_forecast_mae_kw
2025-03-20,static_forecast,68428.91388888888,3120.804330555557,71549.71821944445,42009.11622474555,0.0,12432.752472111117,54441.86869685667,4221.287413888887,914.1356555555551,0.9238576554330099,22133.333333333332,17928.0,1200.0,1200.0,1200.0,10800.0,283.6108571759259,129.5548923611111
2025-03-20,rolling,65006.76033333333,2917.0082833333327,67923.76861666667,42009.11622474555,-870.3273654995812,10625.109242269438,51763.89810151541,700.7292,910.0775999999996,0.9873604521646637,21600.0,17496.0,1200.0,1200.0,1200.0,10800.0,113.3815662037037,129.5548923611111
2025-03-20,oracle_actual,66425.81883333334,0.0,66425.81883333334,40511.96847910667,0.0,0.0,40511.96847910667,138.19034999999968,0.0,0.997507362988146,21466.666666666668,17388.0,1200.0,1200.0,1200.0,10800.0,0.0,0.0
2025-06-21,static_forecast,33789.74035277778,758.1852222222221,34547.925575,19234.29558501028,0.0,2566.2010978999997,21800.496682910278,11561.428794444446,1219.7563805555558,0.8137456160726516,12800.0,10368.0,1200.0,1200.0,1200.0,10800.0,99.69349583333336,155.71023819444443
2025-06-21,rolling,33544.851291666666,777.0244249999997,34321.87571666667,19234.29558501028,-98.42246115805557,2659.1424428319433,21795.015566684164,11335.435586111113,1219.6997305555558,0.8173863620858187,12800.0,10368.0,1200.0,1200.0,1200.0,10800.0,123.61963842592594,155.71023819444443
2025-06-21,oracle_actual,32137.73966666667,0.0,32137.73966666667,17759.024644921665,0.0,0.0,17759.024644921665,10396.3326,0.0,0.8325152921888618,12666.666666666668,10260.0,1200.0,1200.0,1200.0,10800.0,0.0,0.0
2025-09-23,static_forecast,69491.571675,998.1226416666684,70489.69431666666,43434.11263262945,0.0,4430.846761704173,47864.959394333615,2813.470533333333,1430.2748666666662,0.9523670731954235,21733.333333333336,17604.0,1200.0,1200.0,1200.0,10800.0,116.82645879629627,148.89045833333344
2025-09-23,rolling,67704.67993611112,1410.6628083333353,69115.34274444444,43434.11263262945,-614.5239812545842,6087.461802175008,48907.05045354986,1439.1189611111122,1430.2748666666662,0.9756352706290945,21733.333333333336,17604.0,1200.0,1200.0,1200.0,10800.0,53.515887847222224,148.89045833333344
2025-09-23,oracle_actual,66567.37088333334,0.0,66567.37088333334,41826.05418377167,0.0,0.0,41826.05418377167,321.42196666666746,0.0,0.9945582266349606,21733.333333333336,17604.0,1200.0,1200.0,1200.0,10800.0,0.0,0.0
2025-12-21,static_forecast,93732.7256,2015.5833333333321,95748.30893333333,60142.26784918306,0.0,7226.5200275569405,67368.78787674,1055.785750000001,993.4079833333328,0.9701237744473445,24533.333333333336,19872.0,1200.0,1200.0,1200.0,10800.0,60.84399791666672,148.0094243055556
2025-12-21,rolling,93690.924575,2207.416005555556,95898.34058055555,60142.26784918306,925.7181518812489,7471.563202456943,68539.54920352125,1205.817397222224,993.4079833333328,0.9658782356792303,24533.333333333336,19872.0,1200.0,1200.0,1200.0,10800.0,66.93332164351847,148.0094243055556
2025-12-21,oracle_actual,93707.01511666665,0.0,93707.01511666665,60044.299631671674,0.0,0.0,60044.299631671674,7.899916666666627,0.0,0.9997764511481799,24533.333333333336,19872.0,1200.0,1200.0,1200.0,10800.0,0.0,0.0
