date,time_index,time_label,actual_load_kw,actual_pv_kw,forecast_load_kw,forecast_pv_kw,baseline_load_kw,baseline_pv_kw,load_residual_kw,pv_residual_kw,load_model,pv_scale,history_end_date
2025-01-02,0,00:10:00,3622.5509,0.0,3529.7296,0.0,3529.7296,0.0,92.82130000000006,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,1,00:20:00,3622.7611,0.0,3609.5287,0.0,3609.5287,0.0,13.232400000000325,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,2,00:30:00,3708.23,0.0,3726.56,0.0,3726.56,0.0,-18.329999999999927,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,3,00:40:00,3750.5226,0.0,3510.6311,0.0,3510.6311,0.0,239.89149999999972,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,4,00:50:00,3684.9038,0.0,3502.5625,0.0,3502.5625,0.0,182.34130000000005,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,5,01:00:00,3644.14,0.0,3787.01,0.0,3787.01,0.0,-142.87000000000035,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,6,01:10:00,3809.298,0.0,3900.3205,0.0,3900.3205,0.0,-91.02250000000004,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,7,01:20:00,3855.1226,0.0,3916.8376,0.0,3916.8376,0.0,-61.71499999999969,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,8,01:30:00,3783.78,0.0,3817.28,0.0,3817.28,0.0,-33.5,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,9,01:40:00,3907.3849,0.0,3533.0136,0.0,3533.0136,0.0,374.3712999999998,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,10,01:50:00,3968.2398,0.0,3694.6613,0.0,3694.6613,0.0,273.5784999999996,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,11,02:00:00,3886.77,0.0,4064.73,0.0,4064.73,0.0,-177.96000000000004,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,12,02:10:00,3865.3901,0.0,3810.671,0.0,3810.671,0.0,54.71910000000025,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,13,02:20:00,3931.6861,0.0,3844.9495,0.0,3844.9495,0.0,86.73659999999973,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,14,02:30:00,4055.98,0.0,4234.62,0.0,4234.62,0.0,-178.63999999999987,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,15,02:40:00,4164.982,0.0,4109.9755,0.0,4109.9755,0.0,55.006500000000415,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,16,02:50:00,4067.4326,0.0,3996.8945,0.0,3996.8945,0.0,70.53810000000021,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,17,03:00:00,3919.44,0.0,4102.19,0.0,4102.19,0.0,-182.74999999999955,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,18,03:10:00,4068.323,0.0,4086.0577,0.0,4086.0577,0.0,-17.734699999999975,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,19,03:20:00,4140.4792,0.0,4133.7626,0.0,4133.7626,0.0,6.716599999999744,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,20,03:30:00,4061.12,0.0,4179.18,0.0,4179.18,0.0,-118.0600000000004,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,21,03:40:00,4138.7041,0.0,3953.3711,0.0,3953.3711,0.0,185.33300000000008,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,22,03:50:00,4283.3011,0.0,3910.7496,0.0,3910.7496,0.0,372.5514999999996,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,23,04:00:00,4330.98,0.0,4099.31,0.0,4099.31,0.0,231.66999999999916,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,24,04:10:00,4225.1585,0.0,4123.8623,0.0,4123.8623,0.0,101.29619999999977,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,25,04:20:00,4201.989,0.0,4169.0068,0.0,4169.0068,0.0,32.982199999999466,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,26,04:30:00,4273.9,0.0,4260.24,0.0,4260.24,0.0,13.659999999999854,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,27,04:40:00,4219.0352,0.0,4217.2222,0.0,4217.2222,0.0,1.8130000000001019,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,28,04:50:00,4069.3885,0.0,4261.857,0.0,4261.857,0.0,-192.46849999999995,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,29,05:00:00,4030.95,0.0,4341.9,0.0,4341.9,0.0,-310.9499999999998,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,30,05:10:00,4262.9553,0.0022,4208.2208,0.0021,4208.2208,0.0021,54.73449999999957,0.00010000000000000026,historical_fallback,1.0,2025-01-01
2025-01-02,31,05:20:00,4330.5086,0.0,4302.1233,0.0,4302.1233,0.0,28.385299999999916,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,32,05:30:00,4149.13,0.0,4456.59,0.0,4456.59,0.0,-307.46000000000004,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,33,05:40:00,4130.3346,0.0307,4148.637,0.0299,4148.637,0.0299,-18.30239999999958,0.0008000000000000021,historical_fallback,1.0,2025-01-01
2025-01-02,34,05:50:00,4641.7286,0.0,4498.1333,0.0,4498.1333,0.0,143.59529999999995,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,35,06:00:00,5411.59,0.0,5369.38,0.0,5369.38,0.0,42.210000000000036,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,36,06:10:00,5738.8011,0.4279,5440.8991,0.4169,5440.8991,0.4169,297.90200000000004,0.01100000000000001,historical_fallback,1.0,2025-01-01
2025-01-02,37,06:20:00,5695.3891,0.0,5316.893,0.0,5316.893,0.0,378.4961000000003,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,38,06:30:00,5537.66,0.0,5399.82,0.0,5399.82,0.0,137.84000000000015,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,39,06:40:00,5461.5746,5.9596,5447.4007,5.8062,5447.4007,5.8062,14.173899999999776,0.15340000000000042,historical_fallback,1.0,2025-01-01
2025-01-02,40,06:50:00,5483.6005,0.0,5444.401,0.0,5444.401,0.0,39.199499999999716,0.0,historical_fallback,1.0,2025-01-01
2025-01-02,41,07:00:00,5540.88,6.6375,5433.63,3.075,5433.63,3.075,107.25,3.5625,historical_fallback,1.0,2025-01-01
2025-01-02,42,07:10:00,5575.3367,192.5583,5449.2818,175.7953,5449.2818,175.7953,126.05490000000009,16.763000000000005,historical_fallback,1.0,2025-01-01
2025-01-02,43,07:20:00,5669.9633,445.6222,5510.0042,421.496,5510.0042,421.496,159.95910000000003,24.12620000000004,historical_fallback,1.0,2025-01-01
2025-01-02,44,07:30:00,5566.66,701.3625,5476.0,677.1,5476.0,677.1,90.65999999999985,24.262499999999932,historical_fallback,1.0,2025-01-01
2025-01-02,45,07:40:00,5081.9454,976.5695,5329.4215,950.8112,5329.4215,950.8112,-247.47610000000077,25.758299999999963,historical_fallback,1.0,2025-01-01
2025-01-02,46,07:50:00,5737.5547,1257.8499,6084.1163,1255.5705,6084.1163,1255.5705,-346.5616,2.279399999999896,historical_fallback,1.0,2025-01-01
2025-01-02,47,08:00:00,7205.75,1536.3375,7316.0,1592.2875,7316.0,1592.2875,-110.25,-55.94999999999982,historical_fallback,1.0,2025-01-01
2025-01-02,48,08:10:00,7519.6199,1820.2924,7469.4947,1937.5212,7469.4947,1937.5212,50.125199999999495,-117.22879999999986,historical_fallback,1.0,2025-01-01
2025-01-02,49,08:20:00,7253.8265,2132.9788,7225.691,2225.1261,7225.691,2225.1261,28.13550000000032,-92.14730000000009,historical_fallback,1.0,2025-01-01
2025-01-02,50,08:30:00,7156.62,2471.7375,7216.13,2490.1125,7216.13,2490.1125,-59.51000000000022,-18.375,historical_fallback,1.0,2025-01-01
2025-01-02,51,08:40:00,7351.5694,2797.3932,7361.7004,2826.3146,7361.7004,2826.3146,-10.130999999999403,-28.921400000000176,historical_fallback,1.0,2025-01-01
2025-01-02,52,08:50:00,7430.2399,3047.7556,7275.513,3122.1315,7275.513,3122.1315,154.72689999999966,-74.3759,historical_fallback,1.0,2025-01-01
