date,soc_start_kwh,soc_end_kwh,note,planned_purchase_kwh,actual_emergency_kwh
2025-01-01,6000.0,6000.0,initialization day; no prior history,,
2025-01-02,6000.0,2080.231355555555,dynamic_reserve_aware,91939.4383473251,3952.1121828333335
2025-01-03,2080.231355555555,8614.676738703703,dynamic_reserve_aware,96765.4683454532,732.545119265165
2025-01-04,8614.676738703703,6404.430395246914,dynamic_reserve_aware,73238.38333709295,1676.8890499999998
2025-01-05,6404.430395246914,1200.0,dynamic_reserve_aware,66874.3248290303,22285.267591457043
2025-01-06,1200.0,1200.0,dynamic_reserve_aware,76864.78694970904,17542.381817735277
2025-01-07,1200.0,3322.862277762347,dynamic_reserve_aware,103500.3250397636,1741.106527177182
2025-01-08,3322.862277762347,4174.503280964284,dynamic_reserve_aware,108651.62119835801,1235.3993192041244
2025-01-09,4174.503280964284,3634.007185414459,dynamic_reserve_aware,106409.30574012351,1727.3592504476992
2025-01-10,3634.007185414459,5946.823087812714,dynamic_reserve_aware,75858.32670440024,1291.2899594047617
2025-01-11,5946.823087812714,4663.643941166143,dynamic_reserve_aware,58470.41829244371,0.0
2025-01-12,4663.643941166143,3616.319147569662,dynamic_reserve_aware,105344.77110921213,1967.229020269568
2025-01-13,3616.319147569662,3087.9711359382723,dynamic_reserve_aware,106297.08161150615,2334.573316746638
2025-01-14,3087.9711359382723,3091.0210750370366,dynamic_reserve_aware,105686.89258816867,1451.419649564481
2025-01-15,3091.0210750370366,2545.3319437090117,dynamic_reserve_aware,95387.4957803362,125.79140523412173
2025-01-16,2545.3319437090117,2573.9595064718014,dynamic_reserve_aware,95922.12519946902,387.8791779809618
2025-01-17,2573.9595064718014,4222.81195746665,dynamic_reserve_aware,65515.5131397741,1257.7808474088665
2025-01-18,4222.81195746665,1961.713187559949,dynamic_reserve_aware,46310.50921992799,1258.7580856685418
2025-01-19,1961.713187559949,2102.443676832806,dynamic_reserve_aware,93668.54973547028,2420.544925604908
2025-01-20,2102.443676832806,3258.71371986608,dynamic_reserve_aware,96296.51310237515,1060.366721538231
2025-01-21,3258.71371986608,3192.0857016983036,dynamic_reserve_aware,95296.48540276125,1051.5391423907774
2025-01-22,3192.0857016983036,1974.0476123450862,dynamic_reserve_aware,90979.47673870903,2863.2073257243655
2025-01-23,1974.0476123450862,2733.104666138416,dynamic_reserve_aware,93725.31537306828,2006.2082659460366
2025-01-24,2733.104666138416,2465.4391143721127,dynamic_reserve_aware,48328.620463353385,776.3908970331065
2025-01-25,2465.4391143721127,2121.252900055016,dynamic_reserve_aware,48178.39442680487,808.5243276847809
2025-01-26,2121.252900055016,2271.28637165655,dynamic_reserve_aware,92045.80420961676,2038.126233469861
2025-01-27,2271.28637165655,2176.6540469805145,dynamic_reserve_aware,92610.99575820944,1368.6550339234109
2025-01-28,2176.6540469805145,2359.723138907766,dynamic_reserve_aware,92034.85863635423,2370.3699794073686
2025-01-29,2359.723138907766,2807.0640698448624,dynamic_reserve_aware,92536.99944798376,1365.9703259968378
2025-01-30,2807.0640698448624,2798.2533749229938,dynamic_reserve_aware,90615.28246050296,1768.4009582482377
2025-01-31,2798.2533749229938,2132.064113769961,dynamic_reserve_aware,43462.302316708374,1051.5456585463583
