strategy,date,soc_start_kwh,soc_end_kwh,planned_purchase_kwh,planned_cost_yuan,expected_emergency_cost_yuan,safety_quantile,safety_scenario_positive_net_kwh,actual_emergency_kwh,actual_emergency_cost_yuan,actual_emergency_intervals,max_emergency_charge_product,spill_kwh,rolling_lp_calls,total_cost_yuan,day_price_min,day_price_max,day_price_mean
dynamic_rolling,2025-02-01,1812.7596250834226,2093.632395588252,43307.86535125603,18007.391307188955,534.4693754916216,0.8,47553.91881453125,0.0,0.0,0,0.0,4452.604197628147,56,18007.391307188955,0.2537,1.1766,0.6514930555555556
dynamic_rolling,2025-02-02,2093.632395588252,1755.966905489088,88390.60678546736,61780.35484449686,9511.617508224768,0.8,84713.00875854914,0.0,0.0,0,0.0,6116.223404319956,52,61780.35484449686,0.3697,1.3998,0.8363881944444445
dynamic_rolling,2025-02-03,1755.966905489088,1391.4296998020252,86925.99713231518,61499.81879753814,4236.796718863729,0.8,82692.76180332463,0.0,0.0,0,0.0,2735.8409532591418,69,61499.81879753814,0.3709,1.3447,0.8447902777777778
dynamic_rolling,2025-02-04,1391.4296998020252,1466.7289425312981,87136.7139707341,61632.47642807291,916.5684179003474,0.8,82383.05770033998,0.0,0.0,0,0.0,1249.9680722161374,71,61632.47642807291,0.381,1.3987,0.8491895833333333
dynamic_rolling,2025-02-05,1466.7289425312981,1271.2188257906091,86889.92463394464,61222.59027731054,4254.032297613739,0.8,81698.03425805276,4.349482055359893,30.115813751311897,1,0.0,1285.1570538864298,77,61252.70609106185,0.3423,1.3848,0.8482541666666665
dynamic_rolling,2025-02-06,1271.2188257906091,1588.7413188037099,87549.9426066057,61956.54612622436,3479.5166107022355,0.8,81806.03625655748,0.0,0.0,0,0.0,2432.4247592203337,67,61956.54612622436,0.3228,1.447,0.8439645833333334
dynamic_rolling,2025-02-07,1588.7413188037099,1254.5959898043093,41828.79732303773,17136.809692694806,13.891676531217907,0.8,45813.855849152955,0.0,0.0,0,0.0,6033.674176140004,68,17136.809692694806,0.2631,1.2102,0.6440388888888888
dynamic_rolling,2025-02-08,1254.5959898043093,1240.1054657461264,37558.60482354484,15183.731940645484,461.12285739243634,0.8,43008.05111106931,262.30125396902605,1106.14341046316,3,0.0,2224.1912650180525,72,16289.875351108645,0.2752,1.1675,0.642351388888889
dynamic_rolling,2025-02-09,1240.1054657461264,1200.0000000000002,81587.39394573322,56675.52420630999,589.5929081898073,0.8,77483.94932172379,2269.429791829847,13547.177439446608,15,0.0,85.90841362280412,83,70222.70164575659,0.3001,1.3378,0.8413840277777778
dynamic_rolling,2025-02-10,1200.0000000000002,1200.0000000000002,82953.8034648341,56319.28264666578,1101.758672802797,0.8,78387.47227234521,35.11772966112471,84.61616961848,1,0.0,4524.45914021203,66,56403.89881628426,0.3637,1.352,0.8180638888888889
dynamic_rolling,2025-02-11,1200.0000000000002,1265.6107935297937,82277.0392820187,56151.22600451213,1081.087533294864,0.8,77240.60694329136,0.0,0.0,0,0.0,2684.4991874174902,76,56151.22600451213,0.36,1.343,0.8284923611111111
dynamic_rolling,2025-02-12,1265.6107935297937,1200.0000000000002,82347.2832402047,55629.744535332065,311.57773050653583,0.8,77654.30195022529,262.3128771684296,1093.680931442706,12,0.0,3002.3118218520826,77,56723.425466774774,0.3727,1.3314,0.8264243055555556
dynamic_rolling,2025-02-13,1200.0000000000002,1408.3001174628798,80328.4848677619,53616.293896622265,698.5622315277594,0.8,75926.46486621145,35.03500669076789,80.30023533523999,1,0.0,4499.117215429995,76,53696.59413195751,0.3026,1.3496,0.8147909722222221
dynamic_rolling,2025-02-14,1408.3001174628798,1237.5639805290657,35790.51355941582,14540.815947937013,64.29951989057051,0.8,42451.662012786124,173.26616031509354,752.8618892042343,5,0.0,2213.579250949829,70,15293.677837141247,0.2247,1.1609,0.6311
dynamic_rolling,2025-02-15,1237.5639805290657,1200.0000000000005,35083.37536765774,14706.575829431358,124.99928702939572,0.8,41678.101146444475,606.054280721843,2436.475489611839,11,0.0,2722.389258456413,71,17143.051319043196,0.2846,1.1564,0.6378472222222222
dynamic_rolling,2025-02-16,1200.0000000000005,1311.6597577696361,79585.14046488563,53383.673341254995,325.3501608606706,0.8,75059.10014476624,952.7133280533967,5083.060480545282,6,0.0,289.6002409842605,77,58466.73382180028,0.34,1.3733,0.8303222222222222
dynamic_rolling,2025-02-17,1311.6597577696361,1578.7857068266815,82202.53647094984,55573.9542708277,41.99973307417044,0.8,77925.11838001465,0.0,0.0,0,0.0,6850.2852369936245,58,55573.9542708277,0.3597,1.3221,0.8173527777777777
dynamic_rolling,2025-02-18,1578.7857068266815,1923.0662147366577,80470.83025938294,53426.73886776225,28.635302737790436,0.8,76928.77923139589,0.0,0.0,0,0.0,3856.7715702341784,58,53426.73886776225,0.3707,1.3605,0.8145215277777778
dynamic_rolling,2025-02-19,1923.0662147366577,1687.3522822854268,80246.90195384102,52952.130312765934,84.74453159514869,0.8,77004.52329439421,34.02371622951091,184.54463682886717,1,0.0,2975.073432737284,63,53136.6749495948,0.3736,1.3304,0.8164298611111112
dynamic_rolling,2025-02-20,1687.3522822854268,2088.5686188782397,80338.11992296312,54092.07059510231,52.50512776178907,0.8,76569.62255447844,0.0,0.0,0,0.0,4771.936538090271,55,54092.07059510231,0.3079,1.3465,0.8168069444444445
dynamic_rolling,2025-02-21,2088.5686188782397,2058.768659375432,35928.93423590333,15058.573725952197,201.77649470171482,0.8,43555.62574897027,0.0,0.0,0,0.0,6642.813944611914,58,15058.573725952197,0.2473,1.1504,0.62085
dynamic_rolling,2025-02-22,2058.768659375432,1762.9006723971393,35177.611362053365,14774.985414844356,216.51378390967193,0.8,42487.71442247203,0.0,0.0,0,0.0,3804.7636944071082,59,14774.985414844356,0.2472,1.2217,0.6352840277777778
dynamic_rolling,2025-02-23,1762.9006723971393,2027.6703830625681,78728.9780862156,52416.089986919564,619.4545749961912,0.8,75040.40175963285,0.0,0.0,0,0.0,2773.994103256603,65,52416.089986919564,0.3868,1.375,0.8153784722222223
dynamic_rolling,2025-02-24,2027.6703830625681,2438.9811867089284,79621.61715322992,52813.56487153811,165.69964851352273,0.8,76295.0143989801,0.0,0.0,0,0.0,7000.482350736737,47,52813.56487153811,0.3649,1.3842,0.8082493055555555
dynamic_rolling,2025-02-25,2438.9811867089284,2323.761509290346,75958.61851752781,50111.043480873064,608.3427930469855,0.8,74463.39164373893,9.744993630095326,50.72756434146122,1,0.0,6575.335685787228,54,50161.771045214526,0.3725,1.3107,0.7940965277777778
dynamic_rolling,2025-02-26,2323.761509290346,2282.1434206797458,75391.20471846036,49508.422550824595,677.0108625564969,0.8,73625.98405277684,0.0,0.0,0,0.0,2333.632503907792,56,49508.422550824595,0.3378,1.3369,0.8055381944444444
dynamic_rolling,2025-02-27,2282.1434206797458,2337.725504066685,72842.69735502526,47255.96905998983,402.2328943187766,0.8,72791.80370296689,183.88691876030043,944.4459796639871,3,0.0,1827.75402309901,59,48200.41503965382,0.3235,1.3501,0.7979118055555556
dynamic_rolling,2025-02-28,2337.725504066685,2157.1185065474733,34034.369752361075,14009.930909227352,351.1096421736497,0.8,42128.885999887614,0.0,0.0,0,0.0,7422.22691592569,55,14009.930909227352,0.2409,1.1629,0.6166784722222222
dynamic_rolling,2025-03-01,2157.1185065474733,2197.763862672239,34189.3454889343,14059.80974897744,82.44864089709988,0.8,41893.66593281258,0.0,0.0,0,0.0,6972.647118352917,47,14059.80974897744,0.2405,1.1576,0.6142222222222222
dynamic_rolling,2025-03-02,2197.763862672239,1270.9165125341615,74598.43106208727,48627.225321594255,335.1504041810564,0.8,71698.70219044466,1899.872595197129,11856.014853008055,14,0.0,591.982518440816,69,60483.24017460231,0.3093,1.3111,0.8122930555555556
dynamic_rolling,2025-03-03,1270.9165125341615,1258.5763070390392,76896.11342148879,50536.02676333155,1107.8153421357129,0.8,73119.91377819325,67.92534874023194,144.76362723588952,4,0.0,431.20099218763755,76,50680.79039056744,0.3264,1.3164,0.81185
dynamic_rolling,2025-03-04,1258.5763070390392,1563.1414026830344,77763.74972720965,51127.744188474375,889.3165343171124,0.8,73953.66389447052,0.0,0.0,0,0.0,4062.2389494996555,67,51127.744188474375,0.3381,1.3441,0.8006277777777778
dynamic_rolling,2025-03-05,1563.1414026830344,1645.3010678549801,76958.68281049274,49685.80029845419,991.0656723564707,0.8,73456.86248204263,0.0,0.0,0,0.0,6842.008962828059,72,49685.80029845419,0.3644,1.3305,0.7945006944444444
dynamic_rolling,2025-03-06,1645.3010678549801,1200.0000000000002,73763.02278575226,47554.06684864163,1082.703083775191,0.8,70664.66584073879,7.692614043000731,12.796663460531715,1,0.0,4023.1748215875973,87,47566.863512102165,0.3327,1.3434,0.7918569444444444
dynamic_rolling,2025-03-07,1200.0000000000002,1200.0000000000002,31467.3623206828,12508.655444953583,354.83455278449173,0.8,38276.459900236594,144.53816247203736,245.49248549133083,7,0.0,7218.340128835962,65,12754.147930444915,0.1545,1.1883,0.6085013888888889
dynamic_rolling,2025-03-08,1200.0000000000002,1424.770169503261,31268.859140646127,12454.645697305925,167.56437002004395,0.8,38142.63086511822,548.9279711103043,1721.4415358643669,4,0.0,8855.4877644737,70,14176.087233170292,0.21,1.1729,0.5972631944444444
