date,time_index,reserve_soc_kwh,scenario_deficit_probability,risk_weighted_emergency_value,future_risk_benchmark
2025-02-01,0,1807.9369406476267,0.0,0.0,5.883000000000001
2025-02-01,1,2137.3361729916633,0.0,0.0,5.883000000000001
2025-02-01,2,2887.3361729916633,0.0,0.0,5.883000000000001
2025-02-01,3,3634.0374587972847,0.0,0.0,5.883000000000001
2025-02-01,4,4354.354412009747,0.0,0.0,5.883000000000001
2025-02-01,5,5066.848230890495,0.25,0.42974999999999997,5.883000000000001
2025-02-01,6,5075.054501377486,0.0,0.0,5.883000000000001
2025-02-01,7,5106.298469173401,0.05,0.09365000000000001,5.883000000000001
2025-02-01,8,5133.930764733044,0.1,0.18030000000000002,5.883000000000001
2025-02-01,9,5144.6963622189005,0.3,0.5373,5.883000000000001
2025-02-01,10,5147.0466557863965,0.0,0.0,5.883000000000001
2025-02-01,11,5897.0466557863965,0.0,0.0,5.883000000000001
2025-02-01,12,6647.0466557863965,0.0,0.0,5.883000000000001
2025-02-01,13,7344.952965851845,0.65,1.290575,5.883000000000001
2025-02-01,14,7272.201899914579,0.15,0.27525,5.883000000000001
2025-02-01,15,7287.2936613700995,0.0,0.0,5.883000000000001
2025-02-01,16,8036.050516776699,0.0,0.0,5.883000000000001
2025-02-01,17,8786.050516776699,0.05,0.0943,5.883000000000001
2025-02-01,18,8803.923863231616,0.3,0.5722499999999999,5.883000000000001
2025-02-01,19,8816.175137308777,0.25,0.47775,5.883000000000001
2025-02-01,20,8822.701910374386,0.05,0.09905,5.883000000000001
2025-02-01,21,8830.232785816572,0.05,0.09697500000000002,5.883000000000001
2025-02-01,22,8847.27946489885,0.0,0.0,5.883000000000001
2025-02-01,23,9535.823414538092,0.0,0.0,5.883000000000001
2025-02-01,24,10237.148013805503,0.7,1.3705999999999998,5.883000000000001
2025-02-01,25,10193.37006576602,0.7,1.4381499999999998,5.883000000000001
2025-02-01,26,10171.414756581758,0.0,0.0,5.883000000000001
2025-02-01,27,10203.954100684632,0.0,0.0,5.883000000000001
2025-02-01,28,10208.708190661846,0.4,0.8188,5.883000000000001
2025-02-01,29,10209.067263826726,0.5,1.013,5.883000000000001
2025-02-01,30,10233.16636394683,0.1,0.1948,5.883000000000001
2025-02-01,31,10248.10886242364,0.5,0.977,5.883000000000001
2025-02-01,32,10234.841671504084,0.0,0.0,5.883000000000001
2025-02-01,33,10278.779803661333,0.05,0.086875,5.883000000000001
2025-02-01,34,10298.538762889773,1.0,2.591,5.883000000000001
2025-02-01,35,9655.482332422125,1.0,4.051,5.883000000000001
2025-02-01,36,9030.692074230226,1.0,4.378,5.883000000000001
2025-02-01,37,8429.74906510795,1.0,4.09,5.883000000000001
2025-02-01,38,7829.179820697176,1.0,3.854,5.883000000000001
2025-02-01,39,7209.919203888643,1.0,3.8575,5.883000000000001
2025-02-01,40,6584.07502178037,1.0,4.0905000000000005,5.883000000000001
2025-02-01,41,5946.9563273856475,1.0,4.339,5.883000000000001
2025-02-01,42,5319.391789299683,1.0,4.32,5.883000000000001
2025-02-01,43,4738.36574756143,1.0,4.1185,5.883000000000001
2025-02-01,44,4227.299496604278,1.0,3.827,5.883000000000001
2025-02-01,45,3769.45624008347,1.0,3.629,5.883000000000001
2025-02-01,46,3319.2479184679564,1.0,4.3485000000000005,5.883000000000001
2025-02-01,47,2913.3850749035105,0.85,4.582775000000001,5.883000000000001
2025-02-01,48,2588.880510410506,0.85,4.4404,5.883000000000001
2025-02-01,49,2301.183301139895,0.85,4.108474999999999,5.883000000000001
2025-02-01,50,2035.3766448673973,0.85,4.007325,5.883000000000001
2025-02-01,51,1806.7574880846162,0.85,3.79525,5.883000000000001
2025-02-01,52,1627.0851547345542,0.8,3.7064000000000004,5.883000000000001
2025-02-01,53,1484.202332333317,0.85,4.2478750000000005,5.883000000000001
2025-02-01,54,1358.036512460613,0.85,4.0013749999999995,5.883000000000001
2025-02-01,55,1248.491690377654,0.65,2.868125,5.883000000000001
2025-02-01,56,1200.0,0.0,0.0,5.883000000000001
2025-02-01,57,1200.0,0.15,0.6794250000000001,5.883000000000001
2025-02-01,58,1200.0,0.0,0.0,5.883000000000001
2025-02-01,59,1200.0,0.0,0.0,5.883000000000001
2025-02-01,60,1200.0,0.0,0.0,5.883000000000001
2025-02-01,61,1200.0,0.0,0.0,5.883000000000001
2025-02-01,62,1200.0,0.0,0.0,5.883000000000001
2025-02-01,63,1215.4810444597495,0.0,0.0,5.883000000000001
2025-02-01,64,1413.3975928979291,0.0,0.0,5.883000000000001
2025-02-01,65,1644.3051284291064,0.0,0.0,5.883000000000001
2025-02-01,66,1906.1064677374206,0.0,0.0,5.883000000000001
2025-02-01,67,2180.7404541047144,0.0,0.0,5.883000000000001
2025-02-01,68,2724.119151596829,0.0,0.0,5.883000000000001
2025-02-01,69,3473.8503716737123,0.0,0.0,5.883000000000001
2025-02-01,70,3830.551792255404,0.0,0.0,5.883000000000001
2025-02-01,71,4178.845959874716,0.0,0.0,5.883000000000001
2025-02-01,72,4833.508140850373,0.0,0.0,5.883000000000001
2025-02-01,73,5193.650128083076,0.0,0.0,5.883000000000001
2025-02-01,74,5585.532215308764,0.0,0.0,5.883000000000001
2025-02-01,75,5977.154220270266,0.0,0.0,5.883000000000001
2025-02-01,76,6727.154220270266,0.0,0.0,5.883000000000001
2025-02-01,77,7193.3842566601425,0.0,0.0,5.883000000000001
2025-02-01,78,7624.113439017484,0.0,0.0,5.883000000000001
2025-02-01,79,8000.712584401128,0.0,0.0,5.883000000000001
2025-02-01,80,8344.684813988746,0.0,0.0,5.883000000000001
2025-02-01,81,8677.390958306043,0.0,0.0,5.883000000000001
2025-02-01,82,8985.142767897642,0.0,0.0,5.883000000000001
2025-02-01,83,9237.687992077133,0.0,0.0,5.883000000000001
2025-02-01,84,9446.04371573053,0.0,0.0,5.883000000000001
2025-02-01,85,9683.12140744739,0.0,0.0,5.883000000000001
2025-02-01,86,9956.03159664195,0.0,0.0,5.883000000000001
2025-02-01,87,10194.991425554397,0.0,0.0,5.883000000000001
2025-02-01,88,10313.70058905118,0.1,0.3527,5.883000000000001
2025-02-01,89,10359.168127618284,0.1,0.25735,5.883000000000001
2025-02-01,90,10411.721907613763,0.1,0.27875,5.883000000000001
2025-02-01,91,10499.193667151822,0.6,1.9817999999999998,5.883000000000001
2025-02-01,92,10521.965453873676,0.35,1.2039999999999997,5.883000000000001
2025-02-01,93,10523.799378393753,0.15,0.4962749999999999,5.883000000000001
2025-02-01,94,10535.623143844854,0.05,0.16162500000000002,5.883000000000001
2025-02-01,95,10579.208085860624,0.1,0.33335000000000004,5.883000000000001
2025-02-01,96,10601.994898850246,0.15,0.5216999999999999,5.883000000000001
2025-02-01,97,10601.196413041518,0.05,0.1758,5.883000000000001
2025-02-01,98,10622.76896051239,0.1,0.35205,5.883000000000001
2025-02-01,99,10685.72006952998,0.15,0.551775,5.883000000000001
2025-02-01,100,10707.76584867187,0.25,0.93325,5.883000000000001
2025-02-01,101,10700.357121872035,0.2,0.7383,5.883000000000001
2025-02-01,102,10728.995533240763,0.2,0.7642,5.883000000000001
