date,soc_start_kwh,soc_end_kwh,note,planned_purchase_kwh,actual_emergency_kwh
2025-01-01,6000.0,6000.0,initialization day; no prior history,,
2025-01-02,6000.0,1365.1683916666664,dynamic_rolling,91939.4383473251,1693.6922606666699
2025-01-03,1365.1683916666664,8131.54340537037,dynamic_rolling,97559.98274977418,0.0
2025-01-04,8131.54340537037,5988.0578375777395,dynamic_rolling,73775.19815190777,0.0
2025-01-05,5988.0578375777395,1200.0,dynamic_rolling,67336.96100421826,23073.79236429257
2025-01-06,1200.0,1200.0,dynamic_rolling,76864.78694970904,18387.17254615851
2025-01-07,1200.0,1997.3843039969138,dynamic_rolling,103500.3250397636,0.0
2025-01-08,1997.3843039969138,2921.8071191931213,dynamic_rolling,110123.11188158504,0.0
2025-01-09,2921.8071191931213,2820.8884947576316,dynamic_rolling,107801.19036431369,0.0
2025-01-10,2820.8884947576316,2253.357165480157,dynamic_rolling,76760.75962771615,0.0
2025-01-11,2253.357165480157,3687.663467429011,dynamic_rolling,62427.74437569264,0.0
2025-01-12,3687.663467429011,1837.528660318782,dynamic_rolling,106429.19385780895,0.0
2025-01-13,1837.528660318782,1326.1745625661379,dynamic_rolling,108262.22734082359,0.0
2025-01-14,1326.1745625661379,1400.8112506005293,dynamic_rolling,107644.44433635991,0.0
2025-01-15,1400.8112506005293,1994.7581491249184,dynamic_rolling,97198.8053373098,0.0
2025-01-16,1994.7581491249184,2294.5469210743795,dynamic_rolling,96860.218211048,0.0
2025-01-17,2294.5469210743795,1644.6761750989049,dynamic_rolling,65825.97156799346,0.0
2025-01-18,1644.6761750989049,1559.5421372633414,dynamic_rolling,49126.19504202841,0.0
2025-01-19,1559.5421372633414,1200.0,dynamic_rolling,94110.38496725682,29.30211421762411
2025-01-20,1200.0,2051.1678735843957,dynamic_rolling,97299.22829885605,0.0
2025-01-21,2051.1678735843957,2039.786177725036,dynamic_rolling,96638.36907110261,0.0
2025-01-22,2039.786177725036,1200.0,dynamic_rolling,92169.76220098187,850.7921332587447
2025-01-23,1200.0,1552.840834723053,dynamic_rolling,94585.36827567394,526.0942321430266
2025-01-24,1552.840834723053,2029.2701741917049,dynamic_rolling,49654.06846059943,0.0
2025-01-25,2029.2701741917049,1383.755859880272,dynamic_rolling,48663.02658256088,0.0
2025-01-26,1383.755859880272,1247.4330838678718,dynamic_rolling,92865.24536536646,0.0
2025-01-27,1247.4330838678718,1339.6880562003446,dynamic_rolling,93746.04054341231,0.0
2025-01-28,1339.6880562003446,1359.7686772575933,dynamic_rolling,92962.52144547933,0.0
2025-01-29,1359.7686772575933,1553.627308346018,dynamic_rolling,93648.0599609284,0.0
2025-01-30,1553.627308346018,1695.019096478609,dynamic_rolling,91855.12430547914,0.0
2025-01-31,1695.019096478609,1477.43274402632,dynamic_rolling,44683.52201191982,0.0
