date,time_index,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,spill_kwh,reserve_soc_kwh,protected_release_kwh
2025-02-01,0,833.3333333333333,0.0,2132.064113769961,2882.064113769961,21.874149529225633,2132.064113769961,0.0
2025-02-01,1,833.3333333333333,0.0,2882.064113769961,3632.064113769961,35.556799252822884,2461.4633461139965,0.0
2025-02-01,2,833.3333333333333,0.0,3632.064113769961,4382.06411376996,26.786328303649725,3211.4633461139965,0.0
2025-02-01,3,833.3333333333333,0.0,4382.06411376996,5132.06411376996,2.422087792867387,3958.164631919618,0.0
2025-02-01,4,833.3333333333333,0.0,5132.06411376996,5882.06411376996,13.841572670526602,4678.48158513208,0.0
2025-02-01,5,85.61790733941729,0.0,5882.06411376996,5959.120230375436,0.0,5390.975404012828,0.0
2025-02-01,6,74.19631733952343,0.0,5959.120230375436,6025.896915981008,0.0,5399.18167449982,0.0
2025-02-01,7,46.96520410825224,0.0,6025.896915981008,6068.165599678435,0.0,5430.425642295734,0.0
2025-02-01,8,32.99849912070084,0.0,6068.165599678435,6097.8642488870655,0.0,5458.0579378553775,0.0
2025-02-01,9,9.32871615256073,0.0,6097.8642488870655,6106.26009342437,0.0,5468.823535341234,0.0
2025-02-01,10,833.3333333333333,0.0,6106.26009342437,6856.26009342437,53.71152913228593,5471.17382890873,0.0
2025-02-01,11,833.3333333333333,0.0,6856.26009342437,7606.26009342437,122.85678694661749,6221.17382890873,0.0
2025-02-01,12,833.3333333333333,0.0,7606.26009342437,8356.260093424371,14.889731264352804,6971.17382890873,0.0
2025-02-01,13,0.0,44.49786388909939,8356.260093424371,8306.818022436482,0.0,7669.080138974178,0.0
2025-02-01,14,9.732538969899906,0.0,8306.818022436482,8315.577307509393,0.0,7596.329073036913,0.0
2025-02-01,15,826.7868861548246,0.0,8315.577307509393,9059.685505048736,0.0,7611.420834492433,0.0
2025-02-01,16,833.3333333333333,0.0,9059.685505048736,9809.685505048736,47.30307170694141,8360.177689899032,0.0
2025-02-01,17,81.57377450538576,0.0,9809.685505048736,9883.101902103583,0.0,9110.177689899032,0.0
2025-02-01,18,45.24120362194026,0.0,9883.101902103583,9923.818985363328,0.0,9128.051036353949,0.0
2025-02-01,19,27.08034568001608,0.0,9923.818985363328,9948.191296475343,0.0,9140.30231043111,0.0
2025-02-01,20,33.431562829947666,0.0,9948.191296475343,9978.279703022296,0.0,9146.82908349672,0.0
2025-02-01,21,0.0,1.253241286879188,9978.279703022296,9976.887212703541,0.0,9154.359958938905,0.0
