time_label,time_index,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh
00:10:00,0,0.4248,3439.8466,0.0,573.3077666666667,0.0
00:20:00,1,0.4245,3437.9792,0.0,572.9965333333333,0.0
00:30:00,2,0.4269,3444.3031,0.0,574.0505166666667,0.0
00:40:00,3,0.4272,3454.4437,0.0,575.7406166666666,0.0
00:50:00,4,0.4271,3458.8273,0.0,576.4712166666667,0.0
01:00:00,5,0.4285,3459.8401,0.0,576.6400166666666,0.0
01:10:00,6,0.4311,3467.1582,0.0,577.8597,0.0
01:20:00,7,0.4302,3467.9632,0.0,577.9938666666667,0.0
01:30:00,8,0.4279,3466.9683,0.0,577.82805,0.0
01:40:00,9,0.4312,3482.4927,0.0,580.41545,0.0
01:50:00,10,0.4333,3495.0841,0.0,582.5140166666666,0.0
02:00:00,11,0.4311,3498.4443,0.0,583.07405,0.0
02:10:00,12,0.4293,3505.2295,0.0,584.2049166666667,0.0
02:20:00,13,0.4324,3512.6387,0.0,585.4397833333334,0.0
02:30:00,14,0.4367,3516.8685,0.0,586.14475,0.0
02:40:00,15,0.4348,3517.9246,0.0,586.3207666666666,0.0
02:50:00,16,0.4335,3518.5518,0.0,586.4253,0.0
03:00:00,17,0.4357,3521.0976,0.0,586.8496,0.0
03:10:00,18,0.4374,3526.9261,0.0,587.8210166666667,0.0
03:20:00,19,0.4371,3537.2854,0.0,589.5475666666667,0.0
03:30:00,20,0.4356,3544.8808,0.0,590.8134666666666,0.0
03:40:00,21,0.4353,3541.2787,0.0,590.2131166666667,0.0
03:50:00,22,0.436,3546.3976,0.0,591.0662666666666,0.0
04:00:00,23,0.4378,3560.207,0.0,593.3678333333334,0.0
04:10:00,24,0.4401,3561.9581,0.0,593.6596833333333,0.0
04:20:00,25,0.4389,3556.7183,0.0,592.7863833333333,0.0
04:30:00,26,0.4364,3560.0272,0.0,593.3378666666666,0.0
04:40:00,27,0.4393,3580.654,0.5994,596.7756666666667,0.0999
04:50:00,28,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333
05:00:00,29,0.4395,3571.2635,0.2885,595.2105833333334,0.04808333333333333
05:10:00,30,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668
05:20:00,31,0.4439,3591.3809,54.4698,598.5634833333334,9.0783
05:30:00,32,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666668
05:40:00,33,0.3713,3486.119,184.1603,581.0198333333334,30.693383333333333
05:50:00,34,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667
06:00:00,35,0.9099,4398.0727,388.5494,733.0121166666667,64.75823333333334
06:10:00,36,0.9368,4454.0123,521.2803,742.3353833333334,86.88005
