time_label,time_index,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,source_time_index,calendar_time_index,period_start,period_end,period_start_text,period_end_text,period_start_minute,period_end_minute,period_key,grid_purchase_kwh,charge_input_kwh,discharge_output_kwh,curtailed_pv_kwh,soc_start_kwh,soc_end_kwh,charge_state_binary,grid_cost_yuan
0:00+1,0,0.4276,3444.7259,0.0,574.1209833333334,0.0,143,0,2025-01-01 00:00:00,2025-01-01 00:10:00,00:00,00:10,0,10,00:00-00:10,574.1209833333334,0.0,0.0,0.0,8550.0,8550.0,0,245.49413247333334
00:10:00,1,0.4248,3439.8466,0.0,573.3077666666667,0.0,0,1,2025-01-01 00:10:00,2025-01-01 00:20:00,00:10,00:20,10,20,00:10-00:20,1406.6411,833.3333333333334,0.0,0.0,8550.0,9300.0,1,597.54113928
00:20:00,2,0.4245,3437.9792,0.0,572.9965333333333,0.0,1,2,2025-01-01 00:20:00,2025-01-01 00:30:00,00:20,00:30,20,30,00:20-00:30,1406.3298666666667,833.3333333333334,0.0,0.0,9300.0,10050.0,1,596.9870284
00:30:00,3,0.4269,3444.3031,0.0,574.0505166666667,0.0,2,3,2025-01-01 00:30:00,2025-01-01 00:40:00,00:30,00:40,30,40,00:30-00:40,574.0505166666667,0.0,0.0,0.0,10050.0,10050.0,0,245.06216556500002
00:40:00,4,0.4272,3454.4437,0.0,575.7406166666666,0.0,3,4,2025-01-01 00:40:00,2025-01-01 00:50:00,00:40,00:50,40,50,00:40-00:50,575.7406166666666,0.0,0.0,0.0,10050.0,10050.0,0,245.95639143999998
00:50:00,5,0.4271,3458.8273,0.0,576.4712166666667,0.0,4,5,2025-01-01 00:50:00,2025-01-01 01:00:00,00:50,01:00,50,60,00:50-01:00,576.4712166666667,0.0,0.0,0.0,10050.0,10050.0,0,246.21085663833333
01:00:00,6,0.4285,3459.8401,0.0,576.6400166666666,0.0,5,6,2025-01-01 01:00:00,2025-01-01 01:10:00,01:00,01:10,60,70,01:00-01:10,576.6400166666666,0.0,0.0,0.0,10050.0,10050.0,0,247.09024714166665
01:10:00,7,0.4311,3467.1582,0.0,577.8597,0.0,6,7,2025-01-01 01:10:00,2025-01-01 01:20:00,01:10,01:20,70,80,01:10-01:20,577.8597,0.0,0.0,0.0,10050.0,10050.0,0,249.11531666999997
01:20:00,8,0.4302,3467.9632,0.0,577.9938666666667,0.0,7,8,2025-01-01 01:20:00,2025-01-01 01:30:00,01:20,01:30,80,90,01:20-01:30,577.9938666666667,0.0,0.0,0.0,10050.0,10050.0,0,248.65296144
01:30:00,9,0.4279,3466.9683,0.0,577.82805,0.0,8,9,2025-01-01 01:30:00,2025-01-01 01:40:00,01:30,01:40,90,100,01:30-01:40,577.82805,0.0,0.0,0.0,10050.0,10050.0,0,247.252622595
