metric,slope_per_day,p_value,r_squared
load_total_kwh,-39.63250488575257,0.927065658872604,0.0002939142636094865
load_mean_kw,-1.6513543702396845,0.9270656588726042,0.00029391426360948433
load_max_kw,-0.7529908064516143,0.9775252524284377,2.7842402023672902e-05
pv_total_kwh,222.44269834005377,1.264111758904308e-08,0.6783563169816664
pv_max_kw,28.936151129032265,0.00043397732680405186,0.3521146727988497
pv_nonzero_intervals,0.09233870967741935,0.00019774722776647657,0.38469043427230054
pv_nonzero_duration_hours,0.015389784946236582,0.00019774722776647657,0.38469043427230054
netload_total_kwh,-262.0752032258064,0.5516764956839384,0.012353289401449223
netload_max_kw,-1.1346177016129073,0.965115797368239,6.710085927196549e-05
netload_min_kw,-27.248617661290314,0.28477063302042566,0.0393433022428348
netload_negative_intervals,0.1471774193548387,0.6041754714942843,0.00938373396894088
