strategy,date,soc_start_kwh,soc_end_kwh,planned_purchase_kwh,planned_cost_yuan,expected_emergency_cost_yuan,safety_quantile,safety_scenario_positive_net_kwh,actual_emergency_kwh,actual_emergency_cost_yuan,actual_emergency_intervals,spill_kwh,total_cost_yuan
optimized_proposed,2025-02-01,1851.843470192576,2127.131536265618,42713.661528940225,22405.18806068275,625.5533812586274,0.8,47553.91881453125,0.0,0.0,0,4373.3785566289425,22405.18806068275
optimized_proposed,2025-02-02,2127.131536265618,1706.947141006446,88270.91008676817,55989.90314009969,8212.560866844344,0.8,84713.00875854914,0.0,0.0,0,6152.672136026731,55989.90314009969
optimized_proposed,2025-02-03,1706.947141006446,1390.417759935159,86797.35531192509,54999.16098510591,3385.370457406026,0.8,82692.76180332463,0.0,0.0,0,2696.522307473575,54999.16098510591
optimized_proposed,2025-02-04,1390.417759935159,1449.56356192575,86746.16547469882,54897.93257461726,842.580100999396,0.8,82383.05770033998,0.0,0.0,0,893.462444001156,54897.93257461726
optimized_proposed,2025-02-05,1449.56356192575,1200.0,86105.32306148643,54417.19019881404,3606.6544727384658,0.8,81698.03425805276,78.3617410185327,222.5576284813246,5,1190.0233163039838,54639.74782729536
optimized_proposed,2025-02-06,1200.0,1385.5548836856358,86765.69786013357,54897.57842436207,3300.8921041549343,0.8,81806.03625655748,0.0,0.0,0,1922.0865191413443,54897.57842436207
optimized_proposed,2025-02-07,1385.5548836856358,1270.4473952610672,41484.94838048523,21534.269735100857,22.664219706542802,0.8,45813.855849152955,0.0,0.0,0,5955.274487503815,21534.269735100857
optimized_proposed,2025-02-08,1270.4473952610672,1251.611826582958,36666.845844888994,18898.561149628506,793.2669098989293,0.8,43008.05111106931,293.54267233125705,1794.4263559609742,1,1642.7411464316542,20692.98750558948
optimized_proposed,2025-02-09,1251.611826582958,1200.0,81388.52271784136,51172.18783900123,548.1692474758182,0.8,77483.94932172379,2374.5332345249285,14891.76294482587,12,66.66738250164815,66063.9507838271
optimized_proposed,2025-02-10,1200.0,1200.0,82761.8110565407,52145.85984435512,820.5842485261667,0.8,78387.47227234521,78.08141836119121,166.9313997914333,2,4503.485359002509,52312.79124414655
optimized_proposed,2025-02-11,1200.0,1210.8105964118358,81570.16932580696,51145.627237922665,1078.3287821382721,0.8,77240.60694329136,3.9357045634771097,19.424669873041275,1,2080.758109976484,51165.05190779571
optimized_proposed,2025-02-12,1210.8105964118358,1200.0,82114.54998541124,51270.490393850705,348.373650454066,0.8,77654.30195022529,156.95928395011555,528.6141522894669,6,2634.422993611056,51799.10454614017
optimized_proposed,2025-02-13,1200.0,1383.0254804547687,80098.30947547377,50011.03328720144,540.795727742027,0.8,75926.46486621145,0.0,0.0,0,4507.128798087272,50011.03328720144
optimized_proposed,2025-02-14,1383.0254804547687,1229.0077967671439,35229.83963603864,18336.169013671006,82.33372124568095,0.8,42451.662012786124,160.03432795031262,834.835196340758,3,2190.187241756901,19171.004210011764
optimized_proposed,2025-02-15,1229.0077967671439,1200.0,34839.23137358451,18071.431337907612,156.3699392819319,0.8,41678.101146444475,583.8542485257378,2881.997827872248,13,2702.6976236880428,20953.42916577986
optimized_proposed,2025-02-16,1200.0,1230.8022979864252,78658.83435748228,48920.55213570787,507.8134350453245,0.8,75059.10014476624,1155.5282756369306,6146.7572748604125,10,76.51838122102959,55067.30941056828
optimized_proposed,2025-02-17,1230.8022979864252,1582.5090517907688,82253.62247235997,51335.40680201522,33.32149336900496,0.8,77925.11838001465,0.0,0.0,0,6972.7211234169845,51335.40680201522
optimized_proposed,2025-02-18,1582.5090517907688,1868.9743132144552,80415.92603394462,50131.925296730806,31.601227098791867,0.8,76928.77923139589,0.0,0.0,0,4058.0956384855253,50131.925296730806
optimized_proposed,2025-02-19,1868.9743132144552,1640.8410087441532,79949.76941237332,49817.01699178316,58.17245995509499,0.8,77004.52329439421,34.02371622951091,149.00686522714304,1,3051.157116092496,49966.0238570103
optimized_proposed,2025-02-20,1640.8410087441532,2075.8675015180097,80248.98878482547,50033.22649140778,42.97587815996641,0.8,76569.62255447844,0.0,0.0,0,4812.070358414012,50033.22649140778
optimized_proposed,2025-02-21,2075.8675015180097,2091.2139477137316,35491.24274445393,18710.81198561524,264.00010165607114,0.8,43555.62574897027,0.0,0.0,0,6610.858104753334,18710.81198561524
optimized_proposed,2025-02-22,2091.2139477137316,1821.9953562021753,34637.20347689752,18172.724719624104,261.1761688951283,0.8,42487.71442247203,0.0,0.0,0,3767.2125463815432,18172.724719624104
optimized_proposed,2025-02-23,1821.9953562021753,1948.7311397690514,78307.7383369736,48852.09703347718,673.1274059485784,0.8,75040.40175963285,0.0,0.0,0,2551.66276290636,48852.09703347718
optimized_proposed,2025-02-24,1948.7311397690514,2315.08237536253,79502.68583732145,49592.35231893638,161.08076354695433,0.8,76295.0143989801,0.0,0.0,0,7200.5183845331085,49592.35231893638
optimized_proposed,2025-02-25,2315.08237536253,2105.4781273848666,76108.46941771422,47728.801766876335,532.1051807241979,0.8,74463.39164373893,0.0,0.0,0,6858.992950280812,47728.801766876335
optimized_proposed,2025-02-26,2105.4781273848666,2258.3096969317317,74475.93097489426,46265.35380231473,945.7731722859892,0.8,73625.98405277684,0.0,0.0,0,1468.9298704005869,46265.35380231473
optimized_proposed,2025-02-27,2258.3096969317317,2304.089247763793,72561.68668677154,45435.20041643301,428.9037823249908,0.8,72791.80370296689,168.52212073982145,833.0975585605993,3,1531.8789428519813,46268.297974993606
optimized_proposed,2025-02-28,2304.089247763793,2200.8071473894297,33690.212265775255,17812.677485340253,454.10827171061493,0.8,42128.885999887614,0.0,0.0,0,7319.463018343345,17812.677485340253
optimized_proposed,2025-03-01,2200.8071473894297,2193.347951942683,33570.354465281984,17876.691934667804,115.5029835482255,0.8,41893.66593281258,0.0,0.0,0,6915.797569632887,17876.691934667804
optimized_proposed,2025-03-02,2193.347951942683,1315.1607996747314,73796.6796582079,45849.81035678362,489.3358652018995,0.8,71698.70219044466,2217.5345630505344,14887.90679048987,9,653.8579173333435,60737.71714727349
optimized_proposed,2025-03-03,1315.1607996747314,1278.8213232084354,76713.92444187778,47705.290423535625,1015.2947731185237,0.8,73119.91377819325,12.466595442264474,26.16738383331313,1,338.4193546207166,47731.45780736894
optimized_proposed,2025-03-04,1278.8213232084354,1571.4502581747304,77597.28543803631,48370.32664283509,711.370186855707,0.8,73953.66389447052,0.0,0.0,0,4158.463730882519,48370.32664283509
optimized_proposed,2025-03-05,1571.4502581747304,1632.2357784159651,76345.27523898392,47743.28348337394,984.4537434173886,0.8,73456.86248204263,0.0,0.0,0,6513.22498941159,47743.28348337394
optimized_proposed,2025-03-06,1632.2357784159651,1200.0,73161.29115676349,45498.778858672595,999.5456394042518,0.8,70664.66584073879,46.07221349250702,98.50239244698,1,3879.1429881063405,45597.28125111957
optimized_proposed,2025-03-07,1200.0,1200.0,31009.9164906742,16070.986263635146,456.4951277963863,0.8,38276.459900236594,97.01057534283918,204.86721584029038,7,7134.588778360214,16275.853479475436
optimized_proposed,2025-03-08,1200.0,1455.755249395187,30611.45519918621,16033.864143038307,231.228056094936,0.8,38142.63086511822,605.1880634308413,2346.6178179603335,5,8861.813008466304,18380.48196099864
optimized_proposed,2025-03-09,1455.755249395187,1261.3697206168579,72264.92867497295,44787.78886197126,109.4494346049177,0.8,69007.71544333055,0.0,0.0,0,5113.461309628394,44787.78886197126
optimized_proposed,2025-03-10,1261.3697206168579,1228.0613852134388,66875.63258399273,41209.84340576989,621.0261730508863,0.8,67239.11170770983,4384.046486015401,28149.464098558856,19,0.0,69359.30750432875
optimized_proposed,2025-03-11,1228.0613852134388,1421.0599992047237,70487.84123894504,43261.028746446886,887.7612322935596,0.8,68355.34090386961,0.0,0.0,0,2394.1136228338146,43261.028746446886
optimized_proposed,2025-03-12,1421.0599992047237,1200.0,69529.80834587157,42760.89552211087,806.7868277440599,0.8,67761.38360594977,156.78224674542145,332.6441679829039,6,3530.4928715269943,43093.53969009377
optimized_proposed,2025-03-13,1200.0,1200.0,69924.23373654493,42757.3090527937,291.35549699600847,0.8,67878.40017349715,1643.5755642177671,10539.632865405374,10,110.16937790107568,53296.941918199074
optimized_proposed,2025-03-14,1200.0,1947.4680662163018,30712.508738640914,16040.43617746805,163.93423225757684,0.8,38404.985254637024,0.0,0.0,0,10917.880209127823,16040.43617746805
