date,forecast_net_kwh,risk_kwh
2025-01-02,92035.17001666666,2483.2580333333335
2025-01-03,92721.6809125313,0.0
2025-01-04,76497.33976353322,78.17444444444443
2025-01-05,68827.90809100037,22845.55629284177
2025-01-06,72840.94738699705,18187.466836600077
2025-01-07,75822.96978713782,16942.26190084605
2025-01-08,87835.16510262755,3325.6297034162003
2025-01-09,87566.56113388424,4303.04426404239
2025-01-10,58256.8419820949,35.29303155658599
2025-01-11,57979.147734959086,69.0023739929031
2025-01-12,87325.146337462,4143.113922165073
2025-01-13,86908.13532010357,2771.7527806673866
2025-01-14,85876.9843129667,4041.707894583328
2025-01-15,88023.786788766,3104.745548158485
2025-01-16,88321.62198770799,2337.1670152615125
2025-01-17,51349.89252053022,700.7389059051566
2025-01-18,48816.278781810426,2153.164549196397
2025-01-19,86956.23787467994,3098.696354153367
2025-01-20,89090.8591195933,1158.6979393505485
2025-01-21,89025.55539561648,709.7114599749932
2025-01-22,85769.23074662773,3845.4515636860547
2025-01-23,85894.06274387051,4280.8827406296805
2025-01-24,48895.693132049266,1003.9822098277737
2025-01-25,48502.28734725795,975.315441328876
2025-01-26,84569.75054376069,3773.417387523342
2025-01-27,86057.21224798606,1079.0267135959664
2025-01-28,85153.22239591181,3193.6947858360836
2025-01-29,86282.99347552026,455.1033743450606
2025-01-30,83359.45998069757,2145.8822350625737
2025-01-31,47191.87136731708,2360.883224001921
